City ID,City,State
40,Chicago,Illinois
9,New York,New York
2,Los Angeles,California
13,Houston,Texas
37,Chicago,Illinois
33,Dallas,Texas
29,Boston,Massachusetts
28,San Francisco,California
5,Atlanta,Georgia
8,Atlanta,Georgia
14,Houston,Texas
32,Boston,Massachusetts
12,New York,New York
25,San Francisco,California
17,Denver,Colorado
30,Boston,Massachusetts
18,Denver,Colorado
7,Atlanta,Georgia
4,Los Angeles,California
10,New York,New York
23,Seattle,Washington
24,Seattle,Washington
11,New York,New York
1,Los Angeles,California
36,Dallas,Texas
16,Houston,Texas
19,Denver,Colorado
22,Seattle,Washington
26,San Francisco,California
21,Seattle,Washington
3,Los Angeles,California
15,Houston,Texas
6,Atlanta,Georgia
20,Denver,Colorado
39,Chicago,Illinois
31,Boston,Massachusetts
35,Dallas,Texas
27,San Francisco,California
38,Chicago,Illinois
34,Dallas,Texas
